iter	Passed	Remaining
419	2593	3582
420	2600	3575
421	2606	3569
422	2612	3563
423	2618	3556
424	2624	3550
425	2630	3543
426	2635	3536
427	2641	3530
428	2647	3524
429	2653	3517
430	2660	3512
431	2666	3506
432	2673	3501
433	2680	3495
434	2687	3490
435	2694	3485
436	2699	3478
437	2706	3472
438	2712	3465
439	2718	3459
440	2725	3454
441	2731	3448
442	2737	3442
443	2743	3435
444	2749	3429
445	2755	3423
446	2761	3415
447	2767	3409
448	2773	3403
449	2779	3397
450	2785	3390
451	2791	3383
452	2796	3377
453	2803	3371
454	2809	3365
455	2816	3360
456	2822	3353
457	2828	3347
458	2834	3341
459	2840	3334
460	2847	3328
461	2852	3321
462	2858	3315
463	2864	3308
464	2870	3302
465	2877	3297
466	2882	3290
467	2888	3283
468	2894	3277
469	2899	3269
470	2905	3263
471	2911	3256
472	2916	3249
473	2921	3242
474	2927	3235
475	2932	3228
476	2938	3221
477	2943	3214
478	2949	3207
479	2954	3201
480	2960	3194
481	2966	3188
482	2974	3183
483	2980	3177
484	2987	3172
485	2994	3167
486	3002	3162
487	3010	3158
488	3018	3154
489	3027	3150
490	3035	3146
491	3044	3143
492	3052	3139
493	3060	3135
494	3069	3131
495	3078	3127
496	3084	3121
497	3092	3117
498	3100	3112
499	3107	3107
500	3115	3103
501	3124	3099
502	3132	3095
503	3139	3089
504	3145	3083
505	3150	3076
506	3156	3069
507	3163	3063
508	3170	3058
509	3176	3051
510	3182	3045
511	3189	3039
512	3195	3033
513	3202	3027
514	3208	3021
515	3214	3014
516	3220	3009
517	3226	3002
518	3233	2996
519	3239	2990
520	3245	2984
521	3251	2977
522	3257	2970
523	3263	2964
524	3269	2957
525	3275	2951
526	3280	2944
527	3286	2938
528	3293	2932
529	3299	2926
530	3305	2919
531	3311	2913
532	3317	2907
533	3322	2899
534	3328	2893
535	3334	2886
536	3340	2880
537	3346	2873
538	3352	2867
539	3358	2860
540	3363	2853
541	3369	2847
542	3375	2840
543	3380	2833
544	3386	2827
545	3393	2821
546	3399	2814
547	3404	2808
548	3410	2802
549	3416	2795
550	3422	2788
551	3428	2782
552	3433	2775
553	3439	2768
